,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,year,month
0,7129300520.0,2014-10-13 00:00:00,221900.0,3.0,1.0,1180.0,5650.0,1.0,,0.0,3.0,7.0,1180.0,0.0,1955.0,0.0,98178.0,47.5112,-122.257,1340.0,5650.0,2014.0,10.0
1,6414100192.0,2014-12-09 00:00:00,538000.0,3.0,2.25,2570.0,7242.0,2.0,0.0,0.0,3.0,7.0,2170.0,400.0,1951.0,2.0,98125.0,47.721000000000004,-122.319,1690.0,7639.0,2014.0,12.0
2,5631500400.0,2015-02-25 00:00:00,180000.0,2.0,1.0,770.0,10000.0,1.0,0.0,0.0,3.0,6.0,770.0,0.0,1933.0,0.0,98028.0,47.7379,-122.23299999999999,2720.0,8062.0,2015.0,2.0
3,2487200875.0,2014-12-09 00:00:00,604000.0,4.0,3.0,1960.0,5000.0,1.0,0.0,0.0,5.0,7.0,1050.0,910.0,1965.0,0.0,98136.0,47.5208,-122.39299999999999,1360.0,5000.0,2014.0,12.0
4,1954400510.0,2015-02-18 00:00:00,510000.0,3.0,2.0,1680.0,8080.0,1.0,0.0,0.0,3.0,8.0,1680.0,0.0,1987.0,0.0,98074.0,47.6168,-122.045,1800.0,7503.0,2015.0,2.0
5,7237550310.0,2014-05-12 00:00:00,1230000.0,4.0,4.5,5420.0,101930.0,1.0,0.0,0.0,3.0,11.0,3890.0,1530.0,2001.0,0.0,98053.0,47.6561,-122.005,4760.0,101930.0,2014.0,5.0
6,1321400060.0,2014-06-27 00:00:00,257500.0,3.0,2.25,1715.0,6819.0,2.0,0.0,0.0,3.0,7.0,1715.0,?,1995.0,0.0,98003.0,47.3097,-122.32700000000001,2238.0,6819.0,2014.0,6.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2414600126.0,2015-04-15 00:00:00,229500.0,3.0,1.0,1780.0,7470.0,1.0,0.0,0.0,3.0,7.0,1050.0,730.0,1960.0,0.0,98146.0,47.5123,-122.337,1780.0,8113.0,2015.0,4.0
9,3793500160.0,2015-03-12 00:00:00,323000.0,3.0,2.5,1890.0,6560.0,2.0,0.0,0.0,3.0,7.0,1890.0,0.0,2003.0,0.0,98038.0,47.3684,-122.031,2390.0,7570.0,2015.0,3.0
